Unnamed: 0,carat,cut,cut_ord,color,clarity,clarity_ord,price,color_ord
53,0.32,Very Good,3,F,VS2,5,602,5
54,1.13,Ideal,5,G,VS2,5,6891,4
55,0.91,Premium,4,E,SI2,2,3639,5
56,1.02,Very Good,3,E,SI1,3,5278,5
57,0.36,Ideal,5,E,VS1,4,1094,5
58,0.3,Premium,4,G,VS1,4,776,4
59,0.3,Ideal,5,G,IF,8,863,4
60,0.77,Ideal,5,I,SI1,3,2475,4
61,0.4,Ideal,5,H,VS1,4,815,4
62,0.7,Very Good,3,I,VVS1,7,2513,4
63,0.4,Very Good,3,E,VVS2,6,1075,5
64,0.58,Ideal,5,F,SI1,3,1401,5
65,1.01,Premium,4,E,SI1,3,5656,5
66,1.3,Premium,4,F,SI1,3,8164,5
67,0.34,Ideal,5,D,I1,1,413,5
68,0.33,Ideal,5,E,VVS2,6,802,5
69,1.22,Premium,4,E,SI2,2,6121,5
70,0.26,Ideal,5,F,VS1,4,452,5
71,0.57,Premium,4,I,VVS1,7,1608,4
72,1.01,Premium,4,F,SI2,2,4137,5
73,0.31,Ideal,5,H,VS1,4,544,4
74,1.01,Ideal,5,J,VS2,5,4617,4
75,0.51,Fair,1,H,VS1,4,1234,4
76,0.42,Ideal,5,D,VVS2,6,1210,5
77,0.31,Very Good,3,I,SI1,3,408,4
78,0.28,Very Good,3,F,VVS1,7,642,5
79,0.42,Very Good,3,G,VS2,5,854,4
80,0.5,Ideal,5,E,SI1,3,1555,5
81,0.79,Ideal,5,E,VS1,4,4240,5
82,1.03,Ideal,5,G,SI2,2,4928,4
83,0.73,Ideal,5,G,VVS1,7,4182,4
84,1.01,Very Good,3,D,SI2,2,4606,5
85,1.12,Ideal,5,G,VS2,5,6774,4
86,2.01,Premium,4,I,VS2,5,17826,4
87,0.36,Ideal,5,E,VS2,5,718,5
88,1.0,Fair,1,H,VS1,4,5460,4
89,1.51,Good,2,G,VS2,5,11640,4
90,0.8,Very Good,3,E,SI1,3,3293,5
91,0.53,Premium,4,F,VS2,5,1753,5
92,2.09,Very Good,3,I,VS1,4,18215,4
93,1.01,Fair,1,G,SI1,3,4004,4
94,0.58,Premium,4,I,VVS1,7,1636,4
95,0.7,Very Good,3,D,VS1,4,3247,5
96,1.0,Very Good,3,F,VS1,4,6098,5
97,0.36,Ideal,5,D,SI1,3,626,5
98,1.1,Ideal,5,E,I1,1,3872,5
99,1.0,Ideal,5,E,SI2,2,4760,5
100,0.56,Fair,1,E,SI2,2,1389,5
101,0.96,Very Good,3,D,SI2,2,3480,5
102,0.37,Premium,4,E,VS2,5,692,5
103,0.92,Ideal,5,D,SI1,3,5779,5
104,0.33,Ideal,5,H,IF,8,959,4
105,0.51,Good,2,G,SI2,2,1129,4
106,0.77,Ideal,5,D,VS1,4,4039,5
107,0.41,Premium,4,F,VVS2,6,1192,5
108,0.44,Premium,4,E,SI2,2,1028,5
109,1.24,Premium,4,F,SI1,3,7162,5
110,0.57,Very Good,3,E,SI2,2,1384,5
111,0.39,Premium,4,G,VVS2,6,1024,4
112,0.6,Ideal,5,F,VS1,4,2142,5
113,0.8,Premium,4,F,SI2,2,2447,5
114,1.01,Ideal,5,F,SI1,3,5486,5
115,0.71,Ideal,5,I,SI1,3,2319,4
116,0.29,Very Good,3,G,VVS1,7,607,4
117,0.38,Very Good,3,D,SI1,3,701,5
118,0.91,Very Good,3,J,SI1,3,2905,4
119,0.51,Ideal,5,G,VS2,5,1450,4
120,0.77,Premium,4,H,VS2,5,2546,4
121,1.58,Premium,4,J,SI1,3,7654,4
122,0.51,Ideal,5,F,VS2,5,1431,5
123,0.33,Ideal,5,F,VVS1,7,1141,5
124,0.7,Ideal,5,E,SI1,3,3330,5
125,1.51,Ideal,5,E,SI1,3,11628,5
126,0.3,Premium,4,J,SI2,2,405,4
127,1.09,Premium,4,E,SI2,2,5127,5
128,1.23,Ideal,5,I,VVS2,6,7256,4
129,0.5,Ideal,5,I,SI1,3,1076,4
130,0.71,Premium,4,E,SI1,3,2554,5
131,0.72,Ideal,5,E,VS2,5,2691,5
132,0.33,Premium,4,G,VS1,4,854,4
133,1.52,Very Good,3,I,VS1,4,9576,4
134,1.23,Ideal,5,G,VS1,4,9116,4
135,0.54,Ideal,5,G,VVS2,6,1829,4
136,0.32,Ideal,5,F,VS2,5,828,5
137,1.31,Premium,4,E,SI1,3,8767,5
138,1.11,Ideal,5,D,SI2,2,5648,5
139,1.03,Very Good,3,H,SI2,2,4283,4
140,0.56,Ideal,5,J,VS2,5,1131,4
141,1.29,Very Good,3,H,SI2,2,5601,4
142,0.53,Ideal,5,G,VS2,5,1577,4
143,1.7,Premium,4,I,VS2,5,11257,4
144,0.3,Ideal,5,F,VS1,4,615,5
145,0.32,Premium,4,H,VVS2,6,828,4
146,1.51,Good,2,H,VS2,5,10763,4
147,0.43,Ideal,5,E,SI1,3,1016,5
148,0.3,Very Good,3,G,VS1,4,620,4
149,3.0,Good,2,E,I1,1,11548,5
150,0.75,Ideal,5,J,SI2,2,1944,4
151,0.9,Very Good,3,H,VVS2,6,4617,4
152,0.58,Very Good,3,D,SI1,3,1785,5
153,1.01,Very Good,3,H,SI1,3,4619,4
154,0.3,Good,2,F,VS2,5,484,5
155,0.79,Ideal,5,E,SI1,3,3053,5
156,0.71,Ideal,5,G,SI1,3,2233,4
157,1.01,Premium,4,G,SI1,3,4525,4
158,1.01,Very Good,3,D,VVS2,6,10453,5
159,1.01,Very Good,3,H,VS1,4,5687,4
160,1.2,Premium,4,G,VS2,5,7795,4
161,0.27,Very Good,3,D,VS1,4,470,5
162,0.56,Ideal,5,I,VVS1,7,1616,4
163,0.41,Ideal,5,E,VVS1,7,1431,5
164,0.72,Ideal,5,F,VVS2,6,3740,5
165,0.55,Ideal,5,D,SI2,2,1363,5
166,0.41,Premium,4,D,SI1,3,1015,5
167,0.3,Very Good,3,E,IF,8,1026,5
168,1.01,Ideal,5,G,VVS2,6,8252,4
169,0.4,Very Good,3,E,SI2,2,611,5
170,0.4,Premium,4,F,SI1,3,920,5
171,0.31,Very Good,3,H,SI1,3,446,4
172,0.39,Premium,4,G,VS2,5,787,4
173,0.71,Very Good,3,H,SI1,3,2210,4
174,1.11,Ideal,5,E,SI2,2,5262,5
175,1.02,Ideal,5,F,VS2,5,6479,5
176,0.33,Very Good,3,E,VS1,4,886,5
177,2.2,Premium,4,G,SI1,3,18193,4
178,2.02,Fair,1,H,SI2,2,14080,4
179,0.56,Very Good,3,F,SI1,3,1436,5
180,1.08,Ideal,5,D,VS1,4,9545,5
181,1.51,Premium,4,G,SI1,3,10739,4
182,1.15,Very Good,3,G,SI1,3,5538,4
183,1.25,Premium,4,I,VS2,5,5975,4
184,0.4,Ideal,5,G,VVS1,7,995,4
185,0.76,Premium,4,E,SI2,2,2688,5
186,1.01,Premium,4,E,VS1,4,7964,5
187,1.2,Premium,4,I,SI2,2,4989,4
188,1.34,Premium,4,J,VS2,5,5778,4
189,0.34,Premium,4,G,VS2,5,596,4
190,0.53,Ideal,5,F,SI1,3,1363,5
191,0.35,Very Good,3,G,IF,8,1001,4
192,0.23,Good,2,E,VVS1,7,462,5
193,1.0,Good,2,F,VS2,5,5606,5
194,2.04,Premium,4,H,SI2,2,15760,4
195,1.01,Very Good,3,I,SI1,3,4794,4
196,0.31,Very Good,3,H,IF,8,778,4
197,0.41,Good,2,I,VS1,4,969,4
198,1.11,Premium,4,F,VS2,5,7179,5
199,1.05,Premium,4,E,SI2,2,4939,5
200,0.51,Good,2,E,VS2,5,1424,5
201,0.38,Ideal,5,E,VVS2,6,1073,5
202,0.35,Ideal,5,I,SI2,2,580,4
203,0.72,Very Good,3,F,VVS2,6,3338,5
204,0.3,Ideal,5,E,SI1,3,499,5
205,0.31,Very Good,3,F,VS2,5,625,5
206,1.05,Ideal,5,G,VS2,5,7070,4
207,0.38,Premium,4,I,VS2,5,812,4
208,1.0,Premium,4,F,VS1,4,7056,5
209,0.32,Very Good,3,I,VS2,5,449,4
210,0.55,Very Good,3,D,SI2,2,1401,5
211,0.56,Premium,4,D,VS2,5,1963,5
212,0.31,Premium,4,F,SI1,3,663,5
213,0.33,Ideal,5,G,IF,8,946,4
214,1.72,Premium,4,H,SI2,2,10869,4
215,1.01,Premium,4,E,VS1,4,6670,5
216,2.02,Ideal,5,J,SI1,3,12713,4
217,1.05,Ideal,5,E,VS1,4,9160,5
218,0.24,Ideal,5,F,VVS2,6,540,5
219,0.39,Good,2,D,VVS2,6,1255,5
220,0.32,Ideal,5,D,SI1,3,756,5
221,0.32,Very Good,3,H,SI2,2,517,4
222,0.73,Ideal,5,H,SI1,3,2320,4
223,0.54,Premium,4,H,SI1,3,1240,4
224,0.52,Very Good,3,F,VS2,5,1607,5
225,0.5,Very Good,3,G,VVS2,6,1806,4
226,0.31,Ideal,5,E,VVS1,7,936,5
227,1.22,Very Good,3,I,SI2,2,5072,4
228,1.27,Good,2,J,VS1,4,5588,4
229,0.7,Good,2,E,VS1,4,3175,5
230,1.24,Premium,4,H,VS1,4,7222,4
231,1.01,Premium,4,E,SI1,3,5599,5
232,0.7,Very Good,3,D,SI1,3,3075,5
233,1.1,Very Good,3,G,SI1,3,4997,4
234,0.3,Very Good,3,E,VS2,5,658,5
235,1.51,Good,2,G,IF,8,14654,4
236,1.7,Ideal,5,F,VS2,5,17360,5
237,0.42,Ideal,5,G,IF,8,1289,4
238,0.36,Ideal,5,D,SI1,3,626,5
239,0.74,Very Good,3,F,SI2,2,2298,5
240,0.61,Ideal,5,G,VS2,5,2286,4
241,0.55,Ideal,5,F,VS1,4,1896,5
242,1.0,Very Good,3,I,VS2,5,4739,4
243,1.02,Ideal,5,H,SI2,2,4243,4
244,1.0,Premium,4,H,VS1,4,4732,4
245,0.33,Premium,4,F,VS2,5,854,5
246,0.31,Premium,4,F,VS2,5,802,5
247,1.16,Ideal,5,F,VS2,5,9432,5
248,1.17,Ideal,5,G,SI2,2,5743,4
249,0.62,Ideal,5,F,SI2,2,1364,5
250,0.31,Good,2,H,VS1,4,476,4
251,0.41,Very Good,3,H,VVS1,7,991,4
252,1.04,Very Good,3,F,VS1,4,7207,5
253,0.7,Ideal,5,F,SI1,3,2671,5
254,0.33,Very Good,3,H,VVS2,6,614,4
255,1.5,Good,2,J,VS1,4,8347,4
256,0.6,Ideal,5,F,VVS2,6,2298,5
257,1.2,Ideal,5,H,VS2,5,7190,4
258,0.31,Very Good,3,E,SI1,3,544,5
259,0.7,Good,2,D,SI1,3,2681,5
260,1.2,Premium,4,F,VS1,4,9370,5
261,0.37,Ideal,5,G,SI1,3,745,4
262,0.42,Premium,4,F,SI1,3,773,5
263,0.83,Ideal,5,J,VS2,5,2241,4
264,0.3,Ideal,5,D,SI1,3,552,5
265,0.32,Ideal,5,G,VVS1,7,732,4
266,0.34,Very Good,3,E,SI2,2,477,5
267,0.7,Very Good,3,G,VVS2,6,2905,4
268,0.88,Very Good,3,F,VVS2,6,5052,5
269,0.55,Ideal,5,H,VS1,4,1634,4
270,0.27,Ideal,5,H,VS1,4,464,4
271,1.14,Premium,4,G,SI2,2,4884,4
272,1.05,Ideal,5,I,SI1,3,4494,4
273,0.3,Very Good,3,J,VS2,5,473,4
274,1.5,Very Good,3,H,SI2,2,7365,4
275,1.91,Premium,4,G,SI2,2,9038,4
276,0.44,Premium,4,D,VS1,4,1232,5
277,1.07,Very Good,3,E,SI2,2,4609,5
278,0.5,Good,2,G,VVS2,6,1690,4
279,0.41,Premium,4,G,VS2,5,1061,4
280,0.7,Premium,4,I,VVS1,7,2536,4
281,0.38,Ideal,5,H,VVS2,6,1031,4
282,1.25,Ideal,5,E,VVS1,7,13536,5
283,0.5,Ideal,5,F,SI1,3,1374,5
284,0.24,Ideal,5,G,SI1,3,364,4
285,1.06,Very Good,3,E,SI2,2,4570,5
286,0.83,Premium,4,G,SI1,3,2863,4
287,0.3,Ideal,5,E,VVS2,6,766,5
288,0.6,Very Good,3,G,VVS1,7,2528,4
289,0.5,Fair,1,E,SI1,3,1176,5
290,0.9,Very Good,3,H,SI2,2,3295,4
291,0.3,Premium,4,H,VS1,4,675,4
292,0.31,Premium,4,I,SI1,3,593,4
293,1.56,Ideal,5,G,VS2,5,13787,4
294,0.71,Ideal,5,F,VS2,5,3123,5
295,1.51,Good,2,G,I1,1,3497,4
296,1.01,Ideal,5,E,VS1,4,7528,5
297,0.38,Ideal,5,H,VS2,5,680,4
298,2.0,Premium,4,H,SI2,2,12940,4
299,1.03,Premium,4,E,VS2,5,6460,5
300,0.52,Very Good,3,F,VS1,4,1748,5
301,0.39,Ideal,5,D,VS1,4,979,5
302,2.0,Premium,4,E,SI2,2,12987,5
303,0.3,Premium,4,H,VVS2,6,605,4
304,1.01,Premium,4,E,SI1,3,5599,5
305,0.31,Premium,4,G,VVS1,7,816,4
306,1.12,Ideal,5,D,VS2,5,8430,5
307,0.3,Ideal,5,F,VS2,5,605,5
308,0.4,Premium,4,F,VVS2,6,1088,5
309,0.9,Premium,4,G,SI1,3,3669,4
310,0.71,Premium,4,H,VS2,5,2363,4
311,0.54,Premium,4,G,SI1,3,1241,4
312,0.9,Ideal,5,D,SI1,3,4612,5
313,0.79,Very Good,3,H,SI2,2,2348,4
314,1.6,Ideal,5,F,SI1,3,13140,5
315,1.03,Very Good,3,G,SI2,2,4374,4
316,0.55,Premium,4,E,SI2,2,1134,5
317,0.8,Ideal,5,H,VVS1,7,3732,4
318,0.41,Ideal,5,I,VVS1,7,875,4
319,0.26,Premium,4,H,VS1,4,382,4
320,0.31,Very Good,3,G,VS2,5,544,4
321,1.09,Very Good,3,F,SI2,2,4629,5
322,0.3,Premium,4,D,VS2,5,911,5
323,1.11,Ideal,5,I,SI1,3,4273,4
324,0.62,Ideal,5,H,IF,8,2469,4
325,0.59,Premium,4,I,VVS1,7,1837,4
326,0.56,Ideal,5,F,VS2,5,1723,5
327,0.57,Very Good,3,D,IF,8,4032,5
328,1.0,Premium,4,F,SI1,3,5292,5
329,1.04,Ideal,5,G,VVS2,6,6173,4
330,0.7,Fair,1,E,SI1,3,2000,5
331,0.7,Ideal,5,E,SI1,3,2407,5
332,1.13,Premium,4,E,SI1,3,5012,5
333,1.51,Premium,4,D,VS1,4,17936,5
334,0.71,Very Good,3,E,SI1,3,2455,5
335,0.43,Premium,4,D,SI1,3,1064,5
336,0.55,Ideal,5,F,SI1,3,1368,5
337,1.54,Premium,4,G,SI2,2,8969,4
338,1.0,Very Good,3,E,SI2,2,4620,5
339,2.5,Fair,1,J,SI2,2,14652,4
340,1.0,Good,2,I,VS2,5,4761,4
341,1.01,Ideal,5,G,SI2,2,4783,4
342,1.02,Premium,4,D,SI2,2,4718,5
343,0.32,Premium,4,I,VS1,4,505,4
344,1.71,Good,2,J,SI2,2,7508,4
345,0.31,Ideal,5,H,VVS1,7,707,4
346,0.33,Ideal,5,G,IF,8,946,4
347,0.52,Very Good,3,E,SI1,3,1438,5
348,1.5,Ideal,5,H,SI1,3,11189,4
349,0.3,Premium,4,I,VS1,4,567,4
350,0.3,Premium,4,G,VVS2,6,878,4
351,0.5,Good,2,D,VS1,4,1795,5
352,0.52,Ideal,5,G,VVS1,7,2065,4
353,0.47,Good,2,E,VVS1,7,1613,5
354,1.3,Ideal,5,F,SI2,2,6559,5
355,0.31,Ideal,5,G,IF,8,871,4
356,0.34,Very Good,3,D,SI1,3,626,5
357,1.01,Ideal,5,F,SI2,2,3777,5
358,0.64,Ideal,5,D,VVS1,7,4281,5
359,0.31,Good,2,H,VS2,5,489,4
360,0.7,Premium,4,F,SI1,3,2196,5
361,0.7,Premium,4,F,VVS2,6,3062,5
362,1.17,Ideal,5,G,VVS2,6,9225,4
363,0.26,Very Good,3,E,VVS2,6,564,5
364,1.0,Good,2,E,VVS1,7,7084,5
365,0.4,Ideal,5,I,VS2,5,667,4
366,1.0,Fair,1,F,SI1,3,4657,5
367,0.47,Premium,4,G,VS2,5,1102,4
368,0.34,Ideal,5,F,VS1,4,745,5
369,0.33,Good,2,I,VVS2,6,579,4
370,0.52,Very Good,3,E,VS2,5,1670,5
371,1.02,Ideal,5,H,VVS2,6,6797,4
372,1.71,Premium,4,I,VS1,4,10055,4
373,1.01,Ideal,5,D,SI1,3,6257,5
374,1.4,Premium,4,H,SI1,3,8624,4
375,1.05,Ideal,5,G,SI1,3,5192,4
376,0.32,Ideal,5,E,IF,8,1018,5
377,1.21,Ideal,5,H,SI2,2,5624,4
378,1.14,Ideal,5,H,SI1,3,5501,4
379,0.4,Very Good,3,J,VS1,4,606,4
380,1.01,Very Good,3,I,SI1,3,4185,4
381,0.4,Premium,4,D,VS1,4,1200,5
382,1.52,Fair,1,J,SI2,2,5916,4
383,0.76,Premium,4,E,SI1,3,2814,5
384,0.5,Ideal,5,G,SI2,2,1011,4
385,0.28,Ideal,5,D,VVS1,7,780,5
386,1.11,Ideal,5,H,SI1,3,5315,4
387,0.38,Premium,4,H,VS2,5,700,4
388,1.0,Very Good,3,D,SI1,3,6040,5
389,0.56,Ideal,5,I,VVS1,7,1605,4
390,0.34,Premium,4,E,VVS2,6,995,5
391,0.82,Ideal,5,G,SI1,3,3123,4
392,1.04,Premium,4,F,SI2,2,4507,5
393,0.47,Ideal,5,H,IF,8,1865,4
394,1.02,Premium,4,H,VS2,5,5100,4
395,1.02,Very Good,3,D,SI1,3,6047,5
396,0.41,Premium,4,G,SI1,3,719,4
397,0.44,Very Good,3,E,VS1,4,1158,5
398,0.5,Premium,4,E,VS2,5,1654,5
399,1.0,Premium,4,J,SI1,3,3780,4
400,2.05,Premium,4,I,VS1,4,12766,4
401,0.75,Very Good,3,E,SI1,3,2698,5
402,0.95,Good,2,D,SI2,2,3214,5
403,0.51,Ideal,5,E,SI1,3,1438,5
404,0.3,Ideal,5,I,SI2,2,405,4
405,1.19,Very Good,3,H,VS1,4,7147,4
406,1.0,Fair,1,D,SI2,2,2974,5
407,1.6,Ideal,5,E,SI2,2,10798,5
408,0.38,Premium,4,F,SI1,3,838,5
409,0.33,Premium,4,D,VVS2,6,1002,5
410,0.8,Ideal,5,E,SI1,3,3630,5
411,1.5,Premium,4,H,IF,8,13107,4
412,0.3,Ideal,5,E,VVS1,7,956,5
413,0.3,Ideal,5,H,VVS2,6,605,4
414,0.27,Very Good,3,E,VVS2,6,620,5
415,0.46,Very Good,3,E,VS1,4,1417,5
416,1.51,Premium,4,H,SI2,2,8388,4
417,1.03,Premium,4,E,VS2,5,7192,5
418,0.33,Premium,4,H,VS2,5,668,4
419,1.01,Premium,4,H,SI1,3,4559,4
420,0.4,Ideal,5,D,VS2,5,1050,5
421,0.8,Ideal,5,E,VS2,5,3648,5
422,0.71,Very Good,3,G,VS2,5,2382,4
423,0.34,Premium,4,F,VS2,5,880,5
424,0.5,Good,2,D,SI1,3,1235,5
425,1.22,Ideal,5,F,VVS2,6,11870,5
426,0.59,Very Good,3,F,VS2,5,1764,5
427,0.78,Ideal,5,G,VS2,5,3613,4
428,1.21,Very Good,3,G,VVS2,6,9942,4
429,0.33,Very Good,3,G,VVS1,7,795,4
430,0.35,Ideal,5,J,VS1,4,478,4
431,1.19,Good,2,J,VS1,4,4931,4
432,1.25,Premium,4,H,VS1,4,8099,4
433,1.07,Premium,4,D,SI1,3,5704,5
434,0.75,Very Good,3,D,SI1,3,3048,5
435,1.51,Ideal,5,G,SI2,2,8794,4
436,2.3,Ideal,5,G,SI2,2,14744,4
437,0.72,Premium,4,F,SI1,3,2670,5
438,0.35,Premium,4,D,VS2,5,829,5
439,0.34,Good,2,H,VS2,5,689,4
440,1.01,Fair,1,G,VS2,5,4072,4
441,0.9,Very Good,3,D,SI2,2,3706,5
442,1.0,Good,2,D,SI2,2,4218,5
443,0.81,Ideal,5,E,VS2,5,4314,5
444,1.13,Ideal,5,H,SI1,3,5050,4
445,0.3,Ideal,5,D,VS2,5,616,5
446,0.31,Ideal,5,G,VVS1,7,1046,4
447,0.3,Very Good,3,H,VS1,4,675,4
448,1.23,Premium,4,I,SI2,2,4773,4
449,2.16,Premium,4,J,VVS1,7,17891,4
450,1.11,Ideal,5,I,SI1,3,4709,4
451,0.54,Premium,4,D,VS1,4,1847,5
452,1.02,Premium,4,D,VS2,5,6909,5
453,1.51,Premium,4,I,SI2,2,7577,4
454,0.73,Ideal,5,D,SI1,3,3195,5
455,1.03,Premium,4,I,VS1,4,5012,4
456,1.07,Very Good,3,F,VS1,4,7513,5
457,0.34,Ideal,5,D,SI1,3,626,5
458,0.5,Fair,1,G,VS1,4,1234,4
459,1.03,Good,2,J,I1,1,2220,4
460,0.4,Good,2,F,IF,8,1404,5
461,0.7,Premium,4,E,VS2,5,2818,5
462,1.52,Premium,4,J,VS1,4,8110,4
463,2.02,Premium,4,F,SI2,2,13267,5
464,0.4,Good,2,D,SI2,2,622,5
465,0.79,Ideal,5,E,VS2,5,3861,5
466,0.47,Premium,4,H,VS1,4,1244,4
467,0.33,Premium,4,E,SI2,2,463,5
468,1.21,Very Good,3,I,SI1,3,4404,4
469,0.51,Very Good,3,F,VS2,5,1601,5
470,1.01,Ideal,5,G,SI2,2,4803,4
471,0.77,Ideal,5,E,SI2,2,2519,5
472,1.01,Fair,1,E,VS2,5,4525,5
473,0.62,Very Good,3,H,VS2,5,1734,4
474,0.31,Ideal,5,I,VS2,5,421,4
475,2.04,Very Good,3,H,SI2,2,13790,4
476,0.41,Premium,4,E,SI1,3,705,5
477,1.26,Premium,4,F,VS1,4,10669,5
478,0.36,Ideal,5,D,VVS2,6,1033,5
479,0.71,Premium,4,G,VS2,5,2694,4
480,0.42,Ideal,5,G,SI1,3,882,4
481,0.31,Premium,4,H,VVS1,7,707,4
482,1.0,Premium,4,G,VS2,5,6048,4
483,0.31,Ideal,5,E,VS1,4,682,5
484,1.01,Premium,4,E,VS2,5,6843,5
485,0.71,Good,2,F,SI1,3,2396,5
486,1.02,Very Good,3,E,VS1,4,7779,5
487,0.73,Ideal,5,E,SI2,2,2581,5
488,0.4,Very Good,3,D,VS2,5,982,5
489,0.5,Fair,1,D,SI1,3,1323,5
490,1.28,Premium,4,I,VS2,5,6451,4
491,0.91,Good,2,F,SI2,2,3539,5
492,1.21,Very Good,3,I,VS1,4,5866,4
493,0.24,Very Good,3,I,VVS1,7,336,4
494,0.38,Very Good,3,D,VS1,4,995,5
495,0.9,Very Good,3,G,VS1,4,4358,4
496,0.8,Very Good,3,E,VS2,5,4263,5
497,0.28,Very Good,3,F,VS1,4,487,5
498,1.02,Ideal,5,G,VS2,5,6333,4
499,0.51,Premium,4,F,VS1,4,1836,5
500,0.72,Fair,1,E,VS2,5,2691,5
501,0.9,Premium,4,G,VS2,5,4022,4
502,1.22,Ideal,5,G,VS1,4,8313,4
503,0.4,Ideal,5,H,VS2,5,926,4
504,0.8,Premium,4,F,SI2,2,2371,5
505,0.71,Ideal,5,E,VS2,5,3247,5
506,0.7,Good,2,I,VVS2,6,2394,4
507,1.11,Very Good,3,H,VS2,5,5450,4
508,0.7,Very Good,3,D,SI2,2,2337,5
509,0.42,Very Good,3,D,SI1,3,756,5
510,0.36,Ideal,5,G,VS1,4,949,4
511,0.38,Very Good,3,F,VS1,4,988,5
512,1.02,Premium,4,F,VS1,4,7389,5
513,0.5,Ideal,5,D,VS1,4,2025,5
514,1.07,Ideal,5,F,VS2,5,8640,5
515,1.52,Premium,4,I,SI1,3,8631,4
516,0.7,Very Good,3,E,SI1,3,2575,5
517,1.0,Fair,1,D,SI1,3,5096,5
518,1.71,Very Good,3,F,VS2,5,17052,5
519,0.51,Premium,4,G,VS2,5,1343,4
520,0.3,Premium,4,F,VVS2,6,882,5
521,0.6,Premium,4,E,SI1,3,1625,5
522,1.0,Premium,4,D,VS2,5,6303,5
523,0.9,Premium,4,I,VS2,5,3398,4
524,0.7,Ideal,5,F,SI2,2,2171,5
525,0.52,Good,2,F,SI1,3,1244,5
526,1.23,Good,2,D,I1,1,3977,5
527,1.01,Good,2,G,SI2,2,4185,4
528,0.52,Ideal,5,I,VVS1,7,1454,4
529,0.38,Premium,4,H,VVS2,6,1069,4
530,2.01,Premium,4,H,SI1,3,16733,4
531,0.81,Fair,1,F,SI2,2,2031,5
532,0.55,Ideal,5,D,VS2,5,1768,5
533,0.36,Premium,4,J,SI1,3,410,4
534,1.51,Very Good,3,I,SI1,3,8637,4
535,0.43,Very Good,3,E,VS1,4,890,5
536,2.5,Fair,1,G,I1,1,7854,4
537,1.5,Very Good,3,G,VVS2,6,12798,4
538,1.51,Ideal,5,G,VS2,5,10553,4
539,0.34,Good,2,E,SI1,3,641,5
540,0.79,Premium,4,H,SI1,3,2275,4
541,1.07,Ideal,5,G,VS2,5,6040,4
542,1.05,Premium,4,F,SI2,2,4363,5
543,0.59,Very Good,3,H,SI2,2,1254,4
544,0.72,Premium,4,E,VS2,5,3078,5
545,0.93,Ideal,5,F,SI2,2,3941,5
546,0.71,Ideal,5,D,VS2,5,4029,5
547,0.3,Very Good,3,G,VVS2,6,684,4
548,0.58,Ideal,5,G,VS2,5,1641,4
